id	name	line	confidence	aliases
document-numbering	系统表单单据编号规则	foundation	confirmed	document-numbering|系统表单单据编号规则|单号规则|表单编号|单据编号|编号规则|WO单号|前缀登记
meeting-20260803-lines-ai-finance	五大条线改造与业财AI会议沉淀	foundation	architecture	meeting-20260803-lines-ai-finance|五大条线会议|业财AI会议|条线改造会议|20260803会议
analytics-business-ledgers	数据分析 / 业务台账报表	foundation	legacy	analytics-business-ledgers|数据分析 / 业务台账报表
business-dept-ledger	项目盈亏情况	foundation	architecture	business-dept-ledger|项目盈亏情况
oneos-h5-vehicle-assets	车辆资产 H5	foundation	confirmed	oneos-h5-vehicle-assets|车辆资产 H5
vehicle-status-handbook	车辆状态说明（五维）	foundation	legacy	vehicle-status-handbook|车辆状态说明（五维）
help-center	帮助中心	platform	legacy	help-center|帮助中心|操作说明|说明书|帮助
message-center	消息中心	platform	confirmed	message-center|消息中心|站内信|消息
oneos-miniprogram	ONE-OS 小程序	platform	building	oneos-miniprogram|ONE-OS 小程序
oneos-mobile-app	ONE-OS 移动端运管	platform	legacy	oneos-mobile-app|ONE-OS 移动端运管
oneos-web-approval	审核中心	platform	confirmed	oneos-web-approval|审核中心|审批中心|待我审核|待我审批|审批|审核|AI审核中心|同人跳过|同人路径跳过|AI审核
oneos-web-crm-erp-sandbox	ONEOS-web CRM/ERP 试验	platform	building	oneos-web-crm-erp-sandbox|ONEOS-web CRM/ERP 试验
oneos-web-workbench-new	全新工作台	platform	confirmed	oneos-web-workbench-new|全新工作台|待办工作台|工作台|督办
workbench-todo-rules	工作台待办规则	platform	confirmed	workbench-todo-rules|工作台待办规则|待办规则|待办权限|董事长待办|年审待办
task-work-order	任务工单	platform	confirmed	task-work-order|任务工单|建工单|催办|工单
wecom-customer-fault-intent	客户微信群主动报障意图	platform	confirmed	wecom-customer-fault-intent|客户微信群报障|群报障|主动报故障|故障意图|客户群故障|仪表报障|离子水报障
oneos-org-contacts	组织通讯录	platform	building	oneos-org-contacts|组织通讯录|成员管理|部门管理|职位管理|用户管理|同步钉钉|人事主数据|组织默认|组织人事|钉钉通讯录习惯
version-roadmap	版本完成情况与未来规划	platform	legacy	version-roadmap|版本完成情况与未来规划
xiaolingling-delivery	小羚羚 · 交车	external	legacy	xiaolingling-delivery|小羚羚 · 交车
master-merge-gate	Master 合入管控	platform	confirmed	master-merge-gate|合Master|合入Master|发版合支|Master合入|门禁合Master|合入审计|yunxiao-master-merge-gate
ai-rd-default	研发组织默认（人机分诊）	platform	confirmed	ai-rd-default|组织默认|人机分诊|一任务一支|玻璃箱|研发onboarding|AI用法分诊
code-sidefx-boundary	代码字段副作用边界	foundation	confirmed	code-sidefx-boundary|字段副作用|表结构副作用|代码级副作用|改字段会不会炸|字典未喂
dual-track-p0	双轨P0·L0规范	foundation	confirmed	dual-track-p0|双轨P0|L0规范|冻Token|禁第二套皮|P0证据包|登录算不算L0|Vue复现不拷React
